Year,Month,Day,Interval,pv_apb1,pv_apb2,pv_apb3,pv_apb4,pv_apb5,pv_floating_apb1,pv_rooftop_apb1,pv_floating_apb2,pv_rooftop_apb2,pv_floating_apb3,pv_rooftop_apb3,pv_floating_apb4,pv_rooftop_apb4,pv_floating_apb5,pv_rooftop_apb5
2059,12,8,4,0.44113966666666665,0.38409566666666667,0.38367766666666664,0.3807203333333333,0.43412466666666666,0.44113966666666665,0.44113966666666665,0.38409566666666667,0.38409566666666667,0.38367766666666664,0.38367766666666664,0.3807203333333333,0.3807203333333333,0.43412466666666666,0.43412466666666666
2059,12,8,5,0.42063866666666666,0.4620086666666667,0.4139676666666667,0.41520433333333334,0.47260133333333326,0.42063866666666666,0.42063866666666666,0.4620086666666667,0.4620086666666667,0.4139676666666667,0.4139676666666667,0.41520433333333334,0.41520433333333334,0.47260133333333326,0.47260133333333326
2059,12,8,6,0.13266433333333333,0.223683,0.17638733333333334,0.181613,0.20612633333333333,0.13266433333333333,0.13266433333333333,0.223683,0.223683,0.17638733333333334,0.17638733333333334,0.181613,0.181613,0.20612633333333333,0.20612633333333333
2059,12,8,7,0.0,0.0052446666666666674,0.0023333333333333335,0.001,0.0008886666666666666,0.0,0.0,0.0052446666666666674,0.0052446666666666674,0.0023333333333333335,0.0023333333333333335,0.001,0.001,0.0008886666666666666,0.0008886666666666666
2059,12,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,12,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,12,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,12,9,3,0.16632733333333335,0.08439366666666666,0.09190333333333334,0.102785,0.12853466666666666,0.16632733333333335,0.16632733333333335,0.08439366666666666,0.08439366666666666,0.09190333333333334,0.09190333333333334,0.102785,0.102785,0.12853466666666666,0.12853466666666666
2059,12,9,4,0.44113966666666665,0.38409566666666667,0.38367766666666664,0.3807203333333333,0.43412466666666666,0.44113966666666665,0.44113966666666665,0.38409566666666667,0.38409566666666667,0.38367766666666664,0.38367766666666664,0.3807203333333333,0.3807203333333333,0.43412466666666666,0.43412466666666666
2059,12,9,5,0.42063866666666666,0.4620086666666667,0.4139676666666667,0.41520433333333334,0.47260133333333326,0.42063866666666666,0.42063866666666666,0.4620086666666667,0.4620086666666667,0.4139676666666667,0.4139676666666667,0.41520433333333334,0.41520433333333334,0.47260133333333326,0.47260133333333326
2059,12,9,6,0.13266433333333333,0.223683,0.17638733333333334,0.181613,0.20612633333333333,0.13266433333333333,0.13266433333333333,0.223683,0.223683,0.17638733333333334,0.17638733333333334,0.181613,0.181613,0.20612633333333333,0.20612633333333333
2059,12,9,7,0.0,0.0052446666666666674,0.0023333333333333335,0.001,0.0008886666666666666,0.0,0.0,0.0052446666666666674,0.0052446666666666674,0.0023333333333333335,0.0023333333333333335,0.001,0.001,0.0008886666666666666,0.0008886666666666666
2059,12,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,12,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,12,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,12,10,3,0.16632733333333335,0.08439366666666666,0.09190333333333334,0.102785,0.12853466666666666,0.16632733333333335,0.16632733333333335,0.08439366666666666,0.08439366666666666,0.09190333333333334,0.09190333333333334,0.102785,0.102785,0.12853466666666666,0.12853466666666666
2059,12,10,4,0.44113966666666665,0.38409566666666667,0.38367766666666664,0.3807203333333333,0.43412466666666666,0.44113966666666665,0.44113966666666665,0.38409566666666667,0.38409566666666667,0.38367766666666664,0.38367766666666664,0.3807203333333333,0.3807203333333333,0.43412466666666666,0.43412466666666666
2059,12,10,5,0.42063866666666666,0.4620086666666667,0.4139676666666667,0.41520433333333334,0.47260133333333326,0.42063866666666666,0.42063866666666666,0.4620086666666667,0.4620086666666667,0.4139676666666667,0.4139676666666667,0.41520433333333334,0.41520433333333334,0.47260133333333326,0.47260133333333326
2059,12,10,6,0.13266433333333333,0.223683,0.17638733333333334,0.181613,0.20612633333333333,0.13266433333333333,0.13266433333333333,0.223683,0.223683,0.17638733333333334,0.17638733333333334,0.181613,0.181613,0.20612633333333333,0.20612633333333333
2059,12,10,7,0.0,0.0052446666666666674,0.0023333333333333335,0.001,0.0008886666666666666,0.0,0.0,0.0052446666666666674,0.0052446666666666674,0.0023333333333333335,0.0023333333333333335,0.001,0.001,0.0008886666666666666,0.0008886666666666666
2059,12,10,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
